127.0.0.1 - - [23/Dec/2017:11:48:08 +0900] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:48:29 +0900] "GET /mb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:48:29 +0900] "GET /mb/ HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:48:31 +0900] "GET /mb/list HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:48:31 +0900] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:48:34 +0900] "POST /mb/delete/6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:48:34 +0900] "GET /mb/delete/list HTTP/1.1" 405 1117
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:07 +0900] "GET /mb/list HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:08 +0900] "GET /mb/delete/1? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:08 +0900] "GET /mb/delete/list HTTP/1.1" 400 1138
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:26 +0900] "GET /mb/list HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:28 +0900] "GET /mb/delete/4? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:28 +0900] "GET /mb/list HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:36 +0900] "GET /mb/delete/5? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:49:36 +0900] "GET /mb/list HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:12 +0900] "POST /mb/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:12 +0900] "GET /mb/list HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:29 +0900] "GET /mb/delete/9? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:29 +0900] "GET /mb/list HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:30 +0900] "GET /mb/delete/8? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:30 +0900] "GET /mb/list HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:54 +0900] "GET /mb/list HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:50:55 +0900] "POST /mb/delete/3 HTTP/1.1" 405 1118
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:51:35 +0900] "GET /mb/list HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:51:38 +0900] "POST /mb/delete/3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:51:38 +0900] "GET /mb/list HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:52:30 +0900] "GET /mb/list HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:52:32 +0900] "GET /mb/delete/10? HTTP/1.1" 405 1117
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:52:50 +0900] "GET /mb/list HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:52:51 +0900] "POST /mb/delete/10 HTTP/1.1" 405 1118
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:52:57 +0900] "GET /mb/list HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:52:58 +0900] "POST /mb/delete/10 HTTP/1.1" 405 1118
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:53:06 +0900] "GET /mb/list HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:53:07 +0900] "POST /mb/delete/10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2017:11:53:07 +0900] "GET /mb/list HTTP/1.1" 200 944
